priority_rank,meter_id,zone_id,zone_name,alert_tier,risk_score,l1_score,if_score,peer_score,signals_triggered,anomaly_rate,low_flag_rate,frac_very_low,frac_very_high,autocorr,reason_codes
11,M08009,Z08,Electronic City,Medium,0.4111122694956091,0.0,1.0,0.04444907798243625,1,0.0,0.0,0.0,0.0,0.5541745958432674,Isolation Forest: meter profile classified as statistical outlier in zone peer group
12,M02002,Z02,Koramangala,Low,0.3459143875955024,0.3744212962962963,0.5312751792769856,0.009427448724017903,1,0.35011574074074076,0.3744212962962963,0.35208333333333336,0.1162037037037037,0.8322938225323872,Consumption below 20% of zone mean for 35% of time (possible bypass); Sustained low consumption: 37% readings flagged (under-reporting risk); Periodic high spikes: 11% readings exceed 3x zone mean (illegal equipment risk)
13,M02005,Z02,Koramangala,Low,0.3224085652302727,0.3577546296296296,0.48705157631458773,0.009495257336268912,1,0.3229166666666667,0.3577546296296296,0.3912037037037037,0.09884259259259259,0.8248222150162577,Consumption below 20% of zone mean for 39% of time (possible bypass); Sustained low consumption: 35% readings flagged (under-reporting risk); Periodic high spikes: 9% readings exceed 3x zone mean (illegal equipment risk)
14,M05007,Z05,Rajajinagar,Low,0.2658123999328684,0.1728009259259259,0.5055226196538982,0.012492111988940267,1,0.11400462962962964,0.1728009259259259,0.0,0.011458333333333333,0.9830525540530484,Minor multi-signal deviation from expected consumption pattern
15,M05001,Z05,Rajajinagar,Low,0.23324309350536448,0.17256944444444444,0.41795966742687096,0.02263968391624221,1,0.11388888888888889,0.17256944444444444,0.046064814814814815,0.00011574074074074075,0.9748441481941241,Minor multi-signal deviation from expected consumption pattern
16,M06006,Z06,HSR Layout,Low,0.22356057535927798,0.15636574074074075,0.42143676487618076,0.0010314405981857488,1,0.1417824074074074,0.15636574074074075,0.0,0.003935185185185185,0.9251157057836035,Minor multi-signal deviation from expected consumption pattern
17,M07007,Z07,Malleshwaram,Low,0.22298888416310783,0.1730324074074074,0.3975123657424571,0.013690381094129681,1,0.11516203703703703,0.1730324074074074,0.02141203703703704,0.0005787037037037037,0.9655793318124535,Minor multi-signal deviation from expected consumption pattern
18,M04008,Z04,Whitefield,Low,0.2200651668363799,0.007060185185185185,0.3699228306201302,0.278499879094052,0,0.007060185185185185,0.0,0.07164351851851852,0.0,0.344402966252589,Low temporal consistency (autocorr=0.34) — consumption pattern irregular
19,M07004,Z07,Malleshwaram,Low,0.20655873471539307,0.17222222222222222,0.3485076393983777,0.027511604713056925,1,0.1150462962962963,0.17222222222222222,0.0,0.1259259259259259,0.9846807503166067,Periodic high spikes: 12% readings exceed 3x zone mean (illegal equipment risk)
20,M03002,Z03,Indiranagar,Low,0.2032159800169569,0.15810185185185185,0.36446877759806506,0.00837128331833097,1,0.14328703703703705,0.15810185185185185,0.0,0.007175925925925926,0.9782389349853778,Minor multi-signal deviation from expected consumption pattern
21,M03007,Z03,Indiranagar,Low,0.19668233580960778,0.15949074074074074,0.3469573986929497,0.008310468292674596,1,0.1440972222222222,0.15949074074074074,0.0,0.005902777777777778,0.9779606607996127,Minor multi-signal deviation from expected consumption pattern
22,M06010,Z06,HSR Layout,Low,0.1960582369253114,0.1568287037037037,0.31396592459833417,0.06232728315872583,1,0.1431712962962963,0.1568287037037037,0.18263888888888888,0.0,0.9765479701781798,Consumption below 20% of zone mean for 18% of time (possible bypass)
23,M08007,Z08,Electronic City,Low,0.19115039890448307,0.005671296296296297,0.4313108637292077,0.06656439883638522,0,0.005671296296296297,0.0,0.0,0.6737268518518519,0.3517079597414287,Periodic high spikes: 67% readings exceed 3x zone mean (illegal equipment risk); Low temporal consistency (autocorr=0.35) — consumption pattern irregular; Mean consumption 2.4σ above zone average
24,M02003,Z02,Koramangala,Low,0.18751863859531182,0.3383101851851852,0.16679620519988958,0.00956636680216468,1,0.3148148148148148,0.3383101851851852,0.10601851851851851,0.15358796296296295,0.7913021174794259,Sustained low consumption: 33% readings flagged (under-reporting risk); Periodic high spikes: 15% readings exceed 3x zone mean (illegal equipment risk)
25,M08006,Z08,Electronic City,Low,0.18510065772290576,0.014583333333333334,0.33798308970390434,0.17921302069870945,0,0.014583333333333334,0.0,0.0,0.0,0.34549738341344655,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
26,M02006,Z02,Koramangala,Low,0.18463336346214881,0.3386574074074074,0.11677322289803815,0.07757592684136377,1,0.3005787037037037,0.3386574074074074,0.3435185185185185,0.0,0.7998600722744842,Consumption below 20% of zone mean for 34% of time (possible bypass); Sustained low consumption: 33% readings flagged (under-reporting risk)
27,M08008,Z08,Electronic City,Low,0.1758196629763588,0.013078703703703703,0.3159455008892019,0.17945566529752674,0,0.013078703703703703,0.0,0.0,0.0,0.3501063230250626,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
28,M06004,Z06,HSR Layout,Low,0.17447326891440837,0.16030092592592593,0.2931039237775629,0.004505501317236581,1,0.1466435185185185,0.16030092592592593,0.10868055555555556,0.0,0.9721501082084356,Minor multi-signal deviation from expected consumption pattern
29,M07008,Z07,Malleshwaram,Low,0.15714914317197598,0.17314814814814813,0.21487815612448802,0.042384115481315765,1,0.1167824074074074,0.17314814814814813,0.17604166666666668,0.0,0.9785254379610918,Consumption below 20% of zone mean for 17% of time (possible bypass)
30,M05003,Z05,Rajajinagar,Low,0.15531965712767126,0.17118055555555556,0.23203639168455226,0.010367624037623613,1,0.11157407407407408,0.17118055555555556,0.0,0.10972222222222222,0.9819980513083941,Periodic high spikes: 10% readings exceed 3x zone mean (illegal equipment risk)
31,M01001,Z01,Jayanagar,Low,0.15193776060933217,0.17141203703703703,0.2170282651876938,0.02052896628516677,1,0.11435185185185186,0.17141203703703703,0.0,0.13310185185185186,0.9846120257890378,Periodic high spikes: 13% readings exceed 3x zone mean (illegal equipment risk)
32,M08002,Z08,Electronic City,Low,0.14727016373558696,0.009953703703703704,0.2473046199495459,0.17945807783788928,0,0.009953703703703704,0.0,0.0,0.0,0.35006893776174364,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
33,M02001,Z02,Koramangala,Low,0.14711211164810925,0.3371527777777778,0.06676585879690866,0.009609183628494226,1,0.3013888888888889,0.3371527777777778,0.10659722222222222,0.1556712962962963,0.7991888097525927,Sustained low consumption: 33% readings flagged (under-reporting risk); Periodic high spikes: 15% readings exceed 3x zone mean (illegal equipment risk)
34,M05008,Z05,Rajajinagar,Low,0.1458664191323026,0.17418981481481483,0.17529544941161823,0.05912721672988056,1,0.115625,0.17418981481481483,0.19305555555555556,0.0,0.98464570239824,Consumption below 20% of zone mean for 19% of time (possible bypass)
35,M02010,Z02,Koramangala,Low,0.14424110153830377,0.3417824074074074,0.04427013508504096,0.027636819646779186,1,0.30497685185185186,0.3417824074074074,0.20706018518518518,0.0,0.793515681625423,Consumption below 20% of zone mean for 20% of time (possible bypass); Sustained low consumption: 34% readings flagged (under-reporting risk)
36,M08005,Z08,Electronic City,Low,0.14320570091795043,0.008912037037037038,0.32076146986132736,0.04712760004182602,0,0.008912037037037038,0.0,0.0,0.0,0.342523556248658,Low temporal consistency (autocorr=0.34) — consumption pattern irregular
37,M02007,Z02,Koramangala,Low,0.14217437371653832,0.3365740740740741,0.055011476399406956,0.009475428923398473,1,0.30115740740740743,0.3365740740740741,0.10555555555555556,0.15335648148148148,0.8001985202723286,Sustained low consumption: 33% readings flagged (under-reporting risk); Periodic high spikes: 15% readings exceed 3x zone mean (illegal equipment risk)
38,M04001,Z04,Whitefield,Low,0.13869459754367394,0.014467592592592593,0.2996014894997492,0.05516137734546742,0,0.014467592592592593,0.0,0.0,0.06655092592592593,0.3504937588557711,Periodic high spikes: 6% readings exceed 3x zone mean (illegal equipment risk); Low temporal consistency (autocorr=0.35) — consumption pattern irregular
39,M05005,Z05,Rajajinagar,Low,0.1296226972276919,0.17152777777777778,0.13686854662702364,0.05936222541864093,1,0.11180555555555556,0.17152777777777778,0.19293981481481481,0.0,0.984819085441095,Consumption below 20% of zone mean for 19% of time (possible bypass)
40,M03004,Z03,Indiranagar,Low,0.12803800420049805,0.15636574074074075,0.18325740639814347,2.8129527925667216e-05,1,0.14328703703703705,0.15636574074074075,0.10520833333333333,0.0,0.977716810646867,Minor multi-signal deviation from expected consumption pattern
41,M02009,Z02,Koramangala,Low,0.12471048596676552,0.3369212962962963,3.01074609687646e-09,0.02715212423505354,1,0.30069444444444443,0.3369212962962963,0.2064814814814815,0.0,0.7988491803454517,Consumption below 20% of zone mean for 20% of time (possible bypass); Sustained low consumption: 33% readings flagged (under-reporting risk)
42,M01006,Z01,Jayanagar,Low,0.1230920538044572,0.17326388888888888,0.15328162409988277,0.004548172213571962,1,0.1150462962962963,0.17326388888888888,0.0,0.043287037037037034,0.9622101334486409,Periodic high spikes: 4% readings exceed 3x zone mean (illegal equipment risk)
43,M07002,Z07,Malleshwaram,Low,0.12263493822304843,0.17476851851851852,0.12615602051448127,0.04401419414309778,1,0.11631944444444445,0.17476851851851852,0.17858796296296298,0.0,0.9835462496838656,Consumption below 20% of zone mean for 17% of time (possible bypass)
44,M04003,Z04,Whitefield,Low,0.12031164420388646,0.013194444444444444,0.11483294085932727,0.27904164921839997,0,0.013194444444444444,0.0,0.07280092592592592,0.0,0.35234941961646127,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
45,M05006,Z05,Rajajinagar,Low,0.11866854747709939,0.17326388888888888,0.13862384845165476,0.010306587941305529,1,0.11354166666666667,0.17326388888888888,0.0,0.109375,0.9847885327454889,Periodic high spikes: 10% readings exceed 3x zone mean (illegal equipment risk)
46,M06002,Z06,HSR Layout,Low,0.11807203049490447,0.15763888888888888,0.1566505958676213,0.0009527241469794069,1,0.1425925925925926,0.15763888888888888,0.0,0.0045138888888888885,0.974011277996664,Minor multi-signal deviation from expected consumption pattern
47,M04009,Z04,Whitefield,Low,0.11517887141093086,0.007291666666666667,0.247130319818468,0.05509864060084132,0,0.007291666666666667,0.0,0.0,0.06724537037037037,0.3527704579877174,Periodic high spikes: 6% readings exceed 3x zone mean (illegal equipment risk); Low temporal consistency (autocorr=0.35) — consumption pattern irregular
48,M01007,Z01,Jayanagar,Low,0.11381726347849844,0.171875,0.09709596058477166,0.05929051697835905,1,0.11539351851851852,0.171875,0.16770833333333332,0.0,0.9846625733881675,Consumption below 20% of zone mean for 16% of time (possible bypass)
49,M01010,Z01,Jayanagar,Low,0.11233450558438321,0.1712962962962963,0.12770971503134443,0.005187663472566944,1,0.11435185185185186,0.1712962962962963,0.0,0.04212962962962963,0.9650563109548551,Periodic high spikes: 4% readings exceed 3x zone mean (illegal equipment risk)
50,M06001,Z06,HSR Layout,Low,0.10159387017576679,0.15729166666666666,0.11569268206941219,0.0010588560586743158,1,0.1431712962962963,0.15729166666666666,0.0,0.005208333333333333,0.9783932575213238,Minor multi-signal deviation from expected consumption pattern
51,M03010,Z03,Indiranagar,Low,0.1012021280334526,0.1570601851851852,0.11557765804659448,0.0,1,0.14375,0.1570601851851852,0.10358796296296297,0.0,0.9786947582762145,Minor multi-signal deviation from expected consumption pattern
52,M06009,Z06,HSR Layout,Low,0.09781533700301207,0.1574074074074074,0.1062272669447536,0.0009273505300721429,1,0.14363425925925927,0.1574074074074074,0.0,0.004398148148148148,0.9781009907682235,Minor multi-signal deviation from expected consumption pattern
53,M03006,Z03,Indiranagar,Low,0.09571637330726224,0.15844907407407408,0.10062224974503953,4.118993328200334e-05,1,0.14340277777777777,0.15844907407407408,0.10416666666666667,0.0,0.9777523985940514,Minor multi-signal deviation from expected consumption pattern
54,M04007,Z04,Whitefield,Low,0.09536226464902146,0.010069444444444445,0.054550160322171304,0.28007157985838954,0,0.010069444444444445,0.0,0.07303240740740741,0.0,0.35088855291770565,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
55,M07006,Z07,Malleshwaram,Low,0.09490957155349121,0.17349537037037038,0.05759555483547629,0.044591879958684244,1,0.11527777777777778,0.17349537037037038,0.17662037037037037,0.0,0.9845107064530223,Consumption below 20% of zone mean for 17% of time (possible bypass)
56,M06008,Z06,HSR Layout,Low,0.09471011147600486,0.15891203703703705,0.09568318738017756,0.003270494243883495,1,0.1443287037037037,0.15891203703703705,0.10462962962962963,0.0,0.9777979529234667,Minor multi-signal deviation from expected consumption pattern
57,M07003,Z07,Malleshwaram,Low,0.09195575028222583,0.1728009259259259,0.0702005016426005,0.013580902204446228,1,0.11446759259259259,0.1728009259259259,0.0,0.029976851851851852,0.9856948637446091,Periodic high spikes: 2% readings exceed 3x zone mean (illegal equipment risk)
58,M03005,Z03,Indiranagar,Low,0.08910253433659865,0.1582175925925926,0.08426819125675977,7.64017059493317e-05,1,0.14386574074074074,0.1582175925925926,0.10358796296296297,0.0,0.978900433974271,Minor multi-signal deviation from expected consumption pattern
59,M07005,Z07,Malleshwaram,Low,0.08783123921787137,0.1726851851851852,0.06007627294672013,0.013443660897473966,1,0.11423611111111111,0.1726851851851852,0.0,0.028819444444444446,0.9828363906735985,Periodic high spikes: 2% readings exceed 3x zone mean (illegal equipment risk)
60,M07001,Z07,Malleshwaram,Low,0.08427445451951467,0.17256944444444444,0.0511838981526439,0.013606358811606203,1,0.11423611111111111,0.17256944444444444,0.022337962962962962,0.0010416666666666667,0.9846054551915465,Minor multi-signal deviation from expected consumption pattern
61,M05009,Z05,Rajajinagar,Low,0.08158637389736834,0.1728009259259259,0.03846773173699991,0.022875828513977164,1,0.1181712962962963,0.1728009259259259,0.044444444444444446,0.0,0.9853038393671446,Minor multi-signal deviation from expected consumption pattern
62,M03001,Z03,Indiranagar,Low,0.07916091489427109,0.15659722222222222,0.06083572267107906,7.039219224674368e-05,1,0.1431712962962963,0.15659722222222222,0.10648148148148148,0.0,0.978613754482822,Minor multi-signal deviation from expected consumption pattern
63,M05004,Z05,Rajajinagar,Low,0.07753938270113363,0.17175925925925925,0.006323399785805317,0.059577128184283075,1,0.11412037037037037,0.17175925925925925,0.19328703703703703,0.0,0.9849822222296055,Consumption below 20% of zone mean for 19% of time (possible bypass)
64,M03008,Z03,Indiranagar,Low,0.07319562075200792,0.15844907407407408,0.0442183510896037,0.00020441756096209297,1,0.1431712962962963,0.15844907407407408,0.1050925925925926,0.0,0.9785336309860969,Minor multi-signal deviation from expected consumption pattern
65,M01008,Z01,Jayanagar,Low,0.0727029778558427,0.17569444444444443,0.017652188122418755,0.016596188205278646,1,0.11863425925925926,0.17569444444444443,0.011226851851851852,0.0011574074074074073,0.9815129323842002,Minor multi-signal deviation from expected consumption pattern
66,M06003,Z06,HSR Layout,Low,0.07070301166333924,0.15787037037037038,0.03656645372267553,0.003287202178557605,1,0.14282407407407408,0.15787037037037038,0.10601851851851851,0.0,0.978651115540403,Minor multi-signal deviation from expected consumption pattern
67,M01009,Z01,Jayanagar,Low,0.06703230939912816,0.17025462962962962,0.01578159217325592,0.00452220863782171,1,0.11458333333333333,0.17025462962962962,0.0,0.041087962962962965,0.9792455140726735,Periodic high spikes: 4% readings exceed 3x zone mean (illegal equipment risk)
68,M01003,Z01,Jayanagar,Low,0.06398783582941137,0.1709490740740741,2.7626950727110966e-09,0.016622635193629626,1,0.11550925925925926,0.1709490740740741,0.011921296296296296,0.001388888888888889,0.9849568927278072,Minor multi-signal deviation from expected consumption pattern
69,M07009,Z07,Malleshwaram,Low,0.06395567880932221,0.17291666666666666,2.5053941143937664e-09,0.013739377895324919,1,0.11342592592592593,0.17291666666666666,0.02013888888888889,0.000462962962962963,0.9852973064642793,Minor multi-signal deviation from expected consumption pattern
70,M01002,Z01,Jayanagar,Low,0.06332617539316139,0.17604166666666668,0.0014757955303044135,0.004485095390825173,1,0.11875,0.17604166666666668,0.0,0.04201388888888889,0.982227732261834,Periodic high spikes: 4% readings exceed 3x zone mean (illegal equipment risk)
71,M05010,Z05,Rajajinagar,Low,0.06254242970782332,0.17118055555555556,5.353273602182185e-09,0.010516932488277777,1,0.1150462962962963,0.17118055555555556,0.0,0.11087962962962963,0.9850304215358637,Periodic high spikes: 11% readings exceed 3x zone mean (illegal equipment risk)
72,M08003,Z08,Electronic City,Low,0.0624919778003619,0.010069444444444445,0.11576901079884316,0.05064027170107629,0,0.010069444444444445,0.0,0.0,0.0,0.3519526690200757,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
73,M06007,Z06,HSR Layout,Low,0.05586203149094799,0.15729166666666666,2.6195607905066254e-09,0.0032397884391613834,1,0.14305555555555555,0.15729166666666666,0.10625,0.0,0.9783834889749901,Minor multi-signal deviation from expected consumption pattern
74,M03003,Z03,Indiranagar,Low,0.054907133710257135,0.1568287037037037,2.2497455010039857e-09,6.834605625058409e-05,1,0.14305555555555555,0.1568287037037037,0.10381944444444445,0.0,0.9781973614081074,Minor multi-signal deviation from expected consumption pattern
75,M08004,Z08,Electronic City,Low,0.054274431895282645,0.011574074074074073,0.09611931791247508,0.04710311521746673,0,0.011574074074074073,0.0,0.0,0.0,0.3514536895671862,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
76,M04005,Z04,Whitefield,Low,0.039801402552471186,0.009837962962962963,0.021490951868882502,0.11104693907152459,0,0.009837962962962963,0.0,0.0,0.0,0.3517538305676776,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
77,M04010,Z04,Whitefield,Low,0.032708161332947065,0.01412037037037037,3.206080956275059e-09,0.11106412168354023,0,0.01412037037037037,0.0,0.0,0.0,0.3527337514906287,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
78,M08010,Z08,Electronic City,Low,0.026821826591913237,0.014351851851851852,0.025061793748285988,0.04709584377780277,0,0.014351851851851852,0.0,0.0,0.0,0.3508828473238437,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
79,M04004,Z04,Whitefield,Low,0.024531692177865723,0.009953703703703704,0.01765229680356173,0.05594790864057895,0,0.009953703703703704,0.0,0.0,0.0,0.3521682975685399,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
80,M08001,Z08,Electronic City,Low,0.016884807160956534,0.014699074074074074,2.724548919808001e-09,0.04696052058084416,0,0.014699074074074074,0.0,0.0,0.0,0.3519666917715019,Low temporal consistency (autocorr=0.35) — consumption pattern irregular
